Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Onion and Hot Pepper Uttapam,Uttapam topped with onion and green chilli.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Mixed Vegetable Uttapam,"Uttapam topped with onion, tomato, peas, carrots and paneer.",$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Mixed Vegetable Cheese Uttapam,"Uttapam topped with onion, tomato, peas, carrots and paneer.",$11.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Chilli Tomato and Garlic Uttapam,"Uttapam topped with chilli, tomato and garlic.",$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Chilli Cheese Uttapam,Topped with green chilli and homemade cheese.,$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Pizza Uttappam,"Topped with mixed vegetable, tomato sauce and cheese.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Rava Dosa,Semolina and rice flour crepe.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Rava Masala Dosa,Rava dosa filled with mildly spiced potato filling.,$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Onion Rava Dosa,Rava dosa flecked with cilantro and onions.,$11.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Onion Rava Masala Dosa,Rava dosa filled with onions and mildly spiced potato filling.,$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Mysore Rava Masala Dosa,Rava dosa filled with spiced potato filling and mysore spices.,$13.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Rava Masala Dosa with Chilli and Gunpowder,Rava masala dosa with green chilllies and gunpowder chillies.,$13.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paneer Rava Masala Dosa,Rava dosa filled with mildly spiced potato filling and paneer.,$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Coconut Rava Masala Dosa,Rava masala dosa filled with coconut and chillies.,$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Chapati,2 pieces of whole wheat flat bread.,$4.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Pulka,2 pieces of fat free flat bread.,$4.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paratha,Layered whole wheat bread.,$5.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Stuffed Paratha,"Layered whole wheat bread stuffed with your choice of onion, potato, pea and paneer.",$8.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Poori,2 pieces of fried puffy bread.,$7.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Poori and Masala,2 pieces of fried puffy bread with mildly spiced potato curry.,$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Gulab Jamun,Milk balls soaked in sweet syrup.,$4.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Rasmalai,Sweet cheese in saffron cardamom cream.,$4.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Gajar Halwa,Shredded carrots and cheese in sweet syrup.,$4.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Badam Halwa,Almond paste with ghee and saffron.,$5.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Halwa A La Mode,Warm badam topped with kulfi.,$5.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Payasam,Vermicelli and tapioca pudding.,$4.99
