Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Veg Uttapam,Thick vegetable-based dosa,$11.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Mysore Masala,With medium spiced potato filling,$11.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Pondicherry Masala,"Masala dosa podi, red onion, tomato, and chili",$13.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Cheese Pondicherry Masala,"Spicy masala dosa with spicy chutney, red onion, tomato, and cheese",$14.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,TOC Special Dosa,Stuffing of mixed vegetables and cheese cooked with sauces made into rolls,$14.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Yellow Dal,"Curry made with moon dal, tomato and spices",$11.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Aloo Gobi Masala,"Potato, cauliflower, and mildly spiced tomato Sauce",$14.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Paneer Tikka Masala,Indian cottage cheese cooked in creamy tomato sauce,$14.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Palak Paneer,Creamed spinach and homemade cheese,$14.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Kadai Paneer,Paneer and bell peppers are cooked in spices,$14.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chole Pesawary,Curry made with white chickpeas and masala,$13.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Puli Kuzhambu,Eggplant-based curry with Indian spices and tamarind sauce,$14.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Salem Vegetable Korma,Garden fresh mixed vegetables cooked with coconut and cashews,$14.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Bhindi Masala Curry,Sliced okra sauted in spices and simmered in tomato-onion gravy,$14.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Mirchi Ka Salan,"Creamy gravy made with peanuts, green chili, and sesame seeds",$14.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chicken Badam Korma,Creamy chicken gravy with almond and masala,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chicken Saagwala,Chicken and spinach cooked with masala,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chicken Tikka Masala,"Creamy, mildly spiced tomato-based curry cooked with Indian herbs and spices",$16.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chettinadu Curry,Chicken OR mutton cooked with special Karaikudi spices and coconut,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Andhra Curry,Chicken OR mutton cooked with Andhra spices,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Gongura Curry,Andhra delicacy!! Chicken OR mutton cooked with Gongura leaves and spices,$15.99
