Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Onion & Chilli Masala *,(crepe w/ onion & chilli w/ onion & potato),$6.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Onion Rava Sada Dosa *,(semolina & lentil crepe),$8.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Onion Rava Masala Dosa,(semolina crepe w/ onion & potato),$8.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Onion Rava Mysore Masala *,(spicy semolina crepe w/ onion & potato),$9.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Onion Chilli Rava Masala Dosa *,"(semolina crepe w/chilli, potato masala)",$9.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Onion Chilli Rava Mysore Masala Dosa *,"(spicy semolina crepe w/chilli, potato masala)",$10.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Cheese Sada Dosa,(crepe w/ cheese),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Cheese Masala Dosa,"(crepe w/ onion, potato & cheese)",$7.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Cheese Onion Chilli Masala,"(cheese crepe w/ onion, chilly, potato)",$8.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Cheese Mysore Masala *,(spicy cheese crepe w/ onion & potato),$8.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Spinach Masala Dosa,"(crepe topped w/ spinach paste, onion & potato)",$6.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Gunpowder Masala Dosa *,(crepe spread w/ spicy milakai podi chutney),$7.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Spring Masala Dosa *,"(spicy crepe w/ onion, tomato, chilly & potato)",$7.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Chinese Dosa,(slices of rolled chinese veg. noodle),$8.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Panneer Dosa,(home made cheese w/ potato & onion),$7.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Chettinadu Dosa *,(ghee sauteed onions/garlic),$9.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Tofu Dosa,(organic soy w/ onion & potato),$7.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Set Dosa,(tow soft pancakes w/ spices),$6.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Pondicherry Dosa *,(spicy crepe rolled w/ potato & onion masala),$7.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Cheese Pondicherry Dosa *,(spicy crepe rolled w/ potato & onion masala & cheese),$9.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Panneer Pondicherry *,(spicy crepe rolled w/ potato & onion masala w/ panneer),$9.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Uppuma Pondicherry *,(spicy crepe rolled w/ rava uppuma stuffing),$9.95
